id	isbn	title	authors	publication_year	
5544	553383809	La casa de los espíritus	Isabel Allende, Magda Bogin	1982	
5545	553383833	De amor y de sombra	Isabel Allende, Margaret Sayers Peden	1984	
5546	553384104	Women's Bodies, Women's Wisdom: Creating Physical and Emotional Health and Healing	Christiane Northrup	1994	
5547	553384155	Flags of Our Fathers	James D. Bradley, Ron Powers	2000	
5548	553384287	Odd Thomas	Dean Koontz	2003	
5549	553384813	Well-Schooled in Murder	Elizabeth  George	1989	
5550	553392425	Fool's Assassin	Robin Hobb	2014	
5551	553392921	Fool's Quest	Robin Hobb	2015	
5552	553418297	The Fold	Peter Clines	2015	
5553	553418602	The Library at Mount Char	Scott  Hawkins	2015	
5554	553418777	Das Lavendelzimmer 	Nina George, Simon Pare	2013	
5555	553447432	Evicted: Poverty and Profit in the American City	Matthew Desmond	2016	
5556	553448188	채식주의자 	Han Kang, Deborah     Smith	2007	
5557	553479016	Seize the Night	Dean Koontz, Keith Szarabajka	1998	
5558	553496646	Everything, Everything	Nicola Yoon, David Yoon	2015	
5559	553496689	The Sun Is Also a Star	Nicola Yoon	2016	
5560	553499084	The Julian chapter	R.J. Palacio	2014	
5561	553499114	Illuminae	Amie Kaufman, Jay Kristoff	2015	
5562	553499165	Gemina	Amie Kaufman, Jay Kristoff, Marie Lu	2016	
5563	553535641	Tell Me Three Things	Julie Buxbaum	2016	
5564	553536516	Finding Audrey	Sophie Kinsella	2015	
5565	553560719	Star Wars: Dark Force Rising	Timothy Zahn	1992	
5566	553560735	Red Mars	Kim Stanley Robinson	1993	
5567	553561189	Mistress of the Empire (The Empire Trilogy, #3)	Raymond E. Feist, Janny Wurts	1992	
5568	553561405	Serpent Mage	Margaret Weis, Tracy Hickman	1992	
5569	553562738	Doomsday Book	Connie Willis	1992	
5570	553563696	The Hand of Chaos	Margaret Weis, Tracy Hickman	1993	
5571	553563734	The King's Buccaneer	Raymond E. Feist	1992	
5572	553564927	Star Wars: The Last Command	Timothy Zahn	1993	
5573	553564935	Magician: Master (The Riftwar Saga, #2)	Raymond E. Feist	1982	
5574	553564943	Magician	Raymond E. Feist	1982	
5575	553565079	Forward the Foundation	Isaac Asimov	1993	
5576	553565699	Assassin's Quest	Robin Hobb	1997	
5577	553567152	Don't Die, My Love	Lurlene McDaniel	1995	
5578	553567713	Into the Labyrinth	Margaret Weis, Tracy Hickman	1993	
5579	553568019	Rogue Squadron	Michael A. Stackpole	1996	
5580	553572393	Green Mars	Kim Stanley Robinson	1994	
5581	553572946	Endymion	Dan Simmons	1996	
5582	553572989	The Rise of Endymion	Dan Simmons	1997	
5583	553573357	Blue Mars 	Kim Stanley Robinson	1996	
5584	553573764	Mariana	Susanna Kearsley	1994	
5585	553573861	Zodiac	Neal Stephenson	1988	
5586	553575376	Excession	Iain M. Banks	1996	
5587	553575384	To Say Nothing of the Dog	Connie Willis	1998	
5588	553575422	Luck in the Shadows	Lynn Flewelling	1996	
5589	553575651	Ship of Destiny	Robin Hobb	2000	
5590	553576798	The Other Daughter	Lisa Gardner	1999	
5591	553578529	Into the Wilderness	Sara Donati	1998	
5592	553578553	Dawn on a Distant Shore	Sara Donati	2000	
5593	553578685	The Third Victim	Lisa Gardner	2001	
5594	553579754	Fear Nothing 	Dean Koontz	1998	
5595	553580221	False Memory	Dean Koontz	1999	
5596	553580272	Dune: House Atreides	Brian Herbert, Kevin J. Anderson	1999	
5597	553580302	Dune: House Harkonnen	Brian Herbert, Kevin J. Anderson	2000	
5598	553580337	Dune: House Corrino	Brian Herbert, Kevin J. Anderson	2001	
5599	553581554	The Killing Game	Iris Johansen	1999	
5600	553582453	The Golden Fool	Robin Hobb	2002	
5601	553582461	Fool's Fate	Robin Hobb	2003	
5602	553582747	From the Corner of His Eye	Dean Koontz	2000	
5603	553582755	One Door Away from Heaven	Dean Koontz	2001	
5604	553582763	By the Light of the Moon	Dean Koontz	2002	
5605	553582798	Lake in the Clouds	Sara Donati	2002	
5606	553582895	Dark Rivers of the Heart	Dean Koontz	1994	
5607	553582909	Prison of Ice 	David Axton, Dean Koontz	1976	
5608	553582917	Intensity	Dean Koontz	1987	
5609	553582933	Winter Moon	Dean Koontz	1993	
5610	553583182	The Power of Your Subconscious Mind	Joseph Murphy, Ian McMahan	1962	
5611	553584480	The Face	Dean Koontz	2003	
5612	553584502	The Taking	Dean Koontz	2004	
5613	553584529	The Killing Hour	Lisa Gardner	2003	
5614	553584707	Catering to Nobody	Diane Mott Davidson	1990	
5615	553585975	An Inquiry into the Nature and Causes of the Wealth of Nations 	Adam Smith	1776	
5616	553586386	Verhaaltjes, en gebeurtenissen uit het Achterhuis. Cady's leven	Anne Frank, Susan Massotty	1960	
5617	553587080	Haunted	Kelley Armstrong	2005	
5618	553587579	Foundation and Earth	Isaac Asimov	1986	
5619	553587692	The Perfect Husband	Lisa Gardner	1997	
5620	553588079	Gone	Lisa Gardner	2006	
5621	553588117	Prince of the Blood	Raymond E. Feist	1989	
5622	553588184	Broken	Kelley Armstrong	2006	
5623	553588249	Life Expectancy	Dean Koontz	2004	
5624	553588257	Velocity	Dean Koontz	2005	
5625	553588265	Forever Odd	Dean Koontz	2005	
5626	553588370	No Humans Involved	Kelley Armstrong	2007	
5627	553588451	Full Moon Rising	Keri Arthur	2006	
5628	553588486	A Game of Thrones	George R.R. Martin	1996	
5629	553588729	The Happiest Baby on the Block	Harvey Karp	2002	
5630	553589172	Ashes to Ashes	Tami Hoag	1999	
5631	553589377	Kiss of Midnight	Lara Adrian	2007	
5632	553589385	Kiss of Crimson 	Lara Adrian	2007	
5633	553589393	Midnight Awakening 	Lara Adrian	2007	
5634	553589458	The Survivors Club	Lisa Gardner	2002	
5635	553589482	The Search	Iris Johansen	2000	
5636	553590154	Dime Store Magic	Kelley Armstrong	2004	
5637	553590162	Industrial Magic	Kelley Armstrong	2004	
5638	553609416	The Complete Anne of Green Gables Boxed Set	L.M. Montgomery	1908	
5639	553803077	Sickened	Julie Gregory	2003	
5640	553803190	Blackout	Connie Willis	2010	
5641	553803522	Social Intelligence: The New Science of Human Relationships	Daniel Goleman	2006	
5642	553803700	I, Robot	Isaac Asimov	1950	
5643	553803719	Foundation	Isaac Asimov	1951	
5644	553803727	Foundation and Empire	Isaac Asimov	1952	
5645	553804324	Hide (Detective D.D. Warren, #2) 	Lisa Gardner	2007	
5646	553804332	Say Goodbye	Lisa Gardner	2008	
5647	553804367	A Briefer History of Time	Stephen Hawking, Leonard Mlodinow	2005	
5648	553804677	The Lies of Locke Lamora	Scott Lynch	2006	
5649	553804685	Red Seas Under Red Skies	Scott Lynch	2007	
5650	553804693	The Republic of Thieves	Scott Lynch	2013	
5651	553804790	The Husband	Dean Koontz	2006	
5652	553804804	Brother Odd	Dean Koontz	2006	
5653	553804812	The Good Guy	Dean Koontz	1989	
5654	553804820	The Darkest Evening of the Year	Dean Koontz	2007	
5655	553805096	The Snowball: Warren Buffett and the Business of Life	Alice Schroeder	2008	
5656	553805371	The Grand Design	Stephen Hawking, Leonard Mlodinow	2010	
5657	553805444	The World of Ice and Fire	George R.R. Martin, Elio M. García Jr., Linda Antonsson	2014	
5658	553805460	The Wolf of Wall Street	Jordan Belfort	2007	
5659	553805487	Garden Spells	Sarah Addison Allen	2007	
5660	553805495	The Sugar Queen	Sarah Addison Allen	2008	
5661	553805592	Love Comes Softly (Love Comes Softly, #1)	Janette Oke	1979	
5662	553806610	Personal Demon	Kelley Armstrong	2008	
5663	553807056	Odd Hours	Dean Koontz	2008	
5664	553807137	Your Heart Belongs to Me	Dean Koontz	2008	
5665	553807145	Relentless	Dean Koontz	2009	
5666	553807188	The Accident	Linwood Barclay	2011	
5667	553807218	The Girl Who Chased the Moon	Sarah Addison Allen	2010	
5668	553807226	The Peach Keeper 	Sarah Addison Allen	2011	
5669	553807234	The Neighbor	Lisa Gardner	2009	
5670	553807242	Live To Tell	Lisa Gardner	2010	
5671	553807250	Love You More	Lisa Gardner	2011	
5672	553807714	77 Shadow Street	Dean Koontz	2011	
5673	553807722	What the Night Knows	Dean Koontz	2010	
5674	553808036	Innocence	Dean Koontz	2013	
5675	553813145	Midnight Tides	Steven Erikson	2004	
5676	553813153	The Bonehunters	Steven Erikson	2006	
5677	553815024	The Sinner	Tess Gerritsen	2003	
5678	553816322	Seduced by Moonlighty (Merry Gentry, #3)	Laurell K. Hamilton	2004	
5679	553816713	The Notebook	Nicholas Sparks	1996	
5680	553819879	Thorn Queen	Richelle Mead	2008	
5681	553820273	Succubus Heat	Richelle Mead	2009	
5682	557364639	My Blood Approves	Amanda Hocking	2010	
5683	557489563	Flutter	Amanda Hocking	2010	
5684	571166938	Žert	Milan Kundera	1967	
5685	571169341	Arcadia	Tom Stoppard	1993	
5686	571171788	Pigs in Heaven	Barbara Kingsolver	1993	
5687	571198775	Wit : A Play	Margaret Edson	1995	
5688	571199976	Proof: A Play	David Auburn	2000	
5689	571203132	Βίος και πολιτεία του Αλέξη Ζορμπά	Nikos Kazantzakis, Νίκος Καζαντζάκης	1946	
5690	571206921	Směšné lásky 	Milan Kundera, Suzanne Rappaport	1970	
5691	571207766	La fiesta del chivo	Mario Vargas Llosa, Edith Grossman	2000	
5692	571212921	A Beautiful Mind	Sylvia Nasar	1998	
5693	571215165	Vernon God Little	D.B.C. Pierre	2003	
5694	571215289	The Secret Scripture	Sebastian Barry	2008	
5695	571219357	The Fortress of Solitude	Jonathan Lethem	2003	
5696	571224385	Nesnesitelná lehkost bytí	Milan Kundera, Michael Henry Heim	1984	
5697	571225365	An Artist of the Floating World	Kazuo Ishiguro	1986	
5698	571225381	The Remains of the Day	Kazuo Ishiguro	1989	
5699	571225403	When We Were Orphans	Kazuo Ishiguro	2000	
5700	571234607	Capital	John Lanchester	2012	
5701	571242448	The Private Patient	P.D. James	2008	
5702	571297889	Apple Tree Yard	Louise Doughty	2013	
5703	571313248	The Girl in the Red Coat	Kate Hamer	2015	
5704	573613052	Huis clos	Jean-Paul Sartre	1944	
5705	573613311	The Odd Couple	Neil Simon	1965	
5706	573613435	One Flew Over the Cuckoo's Nest (script)	Dale Wasserman	1970	
5707	575058080	Maskerade	Terry Pratchett	1995	
5708	575070536	Пикник на обочине	Arkady Strugatsky, Boris Strugatsky, Antonina W. Bouis, Antonina W. Bouis, Theodore Sturgeon	1972	
5709	575070706	The Great Dune Trilogy	Frank Herbert	1977	
5710	575073608	Time and Again	Jack Finney	1970	
5711	575075066	God Emperor of Dune	Frank Herbert	1981	
5712	575077026	Ringworld	Larry Niven	1970	
5713	575077166	The Prefect	Alastair Reynolds	2007	
5714	575077352	孫悟空と仲間たち	Akira Toriyama	1985	
5715	575077832	Ostatnie życzenie	Andrzej Sapkowski	1993	
5716	575077883	Before They Are Hanged	Joe Abercrombie	2007	
5717	575077905	Last Argument of Kings	Joe Abercrombie	2008	
5718	575079797	The Blade Itself	Joe Abercrombie	2006	
5719	575081562	The Necronomicon	H.P. Lovecraft, Les Edwards, Stephen Jones	1930	
5720	575082453	Best Served Cold	Joe Abercrombie	2009	
5721	575088877	The Quantum Thief	Hannu Rajaniemi	2010	
5722	575090855	The Forest of Hands and Teeth	Carrie Ryan	2009	
5723	575096578	Deadlocked	Charlaine Harris	2012	
5724	575097361	The Way of Kings, Part 1	Brandon Sanderson	2011	
5725	575099127	House of Suns	Alastair Reynolds	2008	
5726	575113294	The Red Knight	Miles  Cameron	2012	
5727	575132507	Foxglove Summer	Ben Aaronovitch	2014	
5728	582416396	A Scandal in Bohemia	Ronald Holt, Arthur Conan Doyle	1891	
5729	582418178	Different Seasons	Stephen King, Robin A.H. Waterfield	1982	
5730	582418275	The Firm	John Grisham	1991	
5731	582461502	Tortilla Flat	John Steinbeck	1935	
5732	586008357	The Caves of Steel	Isaac Asimov	1954	
5733	586010165	The Naked Sun	Isaac Asimov	1957	
5734	586026193	The Ipcress File	Len Deighton	1962	
5735	586057242	The Complete Robot	Isaac Asimov	1982	
5736	586062009	Robots and Empire	Isaac Asimov	1985	
5737	586064176	Silverthorn	Raymond E. Feist	1985	
5738	586066888	A Darkness at Sethanon 	Raymond E. Feist	1986	
5739	586203192	2061: Odyssey Three	Arthur C. Clarke	1987	
5740	586203818	Servant of the Empire (The Empire Trilogy, #2)	Raymond E. Feist, Janny Wurts	1990	
5741	586217835	Magician	Raymond E. Feist	1982	
5742	590032496	The Witches	Roald Dahl, Quentin Blake	1983	
5743	590133373	Mad About Madeline	Ludwig Bemelmans	1939	
5744	590224735	Kristy's Great Idea	Ann M. Martin	1986	
5745	590225170	The Real Mother Goose	Blanche Fisher Wright	1916	
5746	590259385	Is Your Mama A Llama?	Deborah Guarino, Steven Kellogg	1989	
5747	590316818	How Do Dinosaurs Say Goodnight?	Jane Yolen, Mark Teague	2000	
5748	590319671	Little Bear	Else Holmelund Minarik, Maurice Sendak	1957	
5749	590396056	Magic Steps	Tamora Pierce	2000	
5750	590396439	Street Magic	Tamora Pierce	2001	
5751	590396560	Cold Fire	Tamora Pierce	2002	
5752	590414275	Inside the Human Body	Joanna Cole, Bruce Degen	1989	
5753	590416022	Stone Soup	Ann McGovern, Winslow Pinney Pels, Winslow Pinn, Ey Pels	1971	
5754	590431978	Scary Stories to Tell in the Dark	Alvin Schwartz, Stephen Gammell	1981	
5755	590442872	Clifford's Halloween (Clifford)	Norman Bridwell	1966	
5756	590452037	Maniac Magee	Jerry Spinelli	1990	
5757	590462253	The Littles	John Lawrence Peterson, Roberta Carter Clark	1967	
5758	590554085	Sandry's Book	Tamora Pierce	1997	
5759	590554093	Tris's Book	Tamora Pierce	1998	
5760	590554107	Daja's Book	Tamora Pierce	1998	
5761	590554115	Briar's Book	Tamora Pierce	1999	
5762	590590898	There's a Boy in the Girls' Bathroom	Louis Sachar	1987	
5763	590664875	Runaway Ralph	Beverly Cleary	1970	
5764	590920685	Ella Enchanted	Gail Carson Levine	1997	
5765	590930028	No, David!	David Shannon	1998	
5766	593046315	Reaper's Gale	Steven Erikson	2007	
5767	593046358	The Crippled God	Steven Erikson	2011	
5768	593053893	Remember Me?	Sophie Kinsella	2008	
5769	593057058	Gone Tomorrow	Lee Child	2009	
5770	593057775	The Bone Garden	Tess Gerritsen	2007	
5771	593065700	The Affair	Lee Child	2011	
5772	593073894	Make Me	Lee Child	2015	
5773	595440096	Still Alice	Lisa Genova	2007	
5774	606298231	Rising Sun	Michael Crichton	1992	
5775	606300538	A Charlie Brown Christmas 	Charles M. Schulz	1965	
5776	609602195	The Barefoot Contessa Cookbook	Ina Garten, Melanie Acevedo	1999	
5777	609800140	Anatomy of the Spirit: The Seven Stages of Power and Healing	Caroline Myss	1996	
5778	609804138	The Sweet Potato Queens' Book of Love	Jill Conner Browne	1999	
5779	609804618	Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source	Scott Dikkers, Maria Schneider, John Krewson, Robert Siegel, David Javerbaum, Todd Hanson, Carol Kolb, Mike Loew, Tim Harrod	1998	
5780	609805797	The Seven Principles for Making Marriage Work: A Practical Guide from the Country's Foremost Relationship Expert	John M. Gottman, Nan Silver	1999	
5781	609807250	Standing for Something: 10 Neglected Virtues That Will Heal Our Hearts and Homes	Gordon B. Hinckley	2000	
5782	609807900	Sloppy Firsts (Jessica Darling, #1)	Megan McCafferty	2001	
5783	609807919	Second Helpings (Jessica Darling, #2)	Megan McCafferty	2003	
5784	609809105	I, Elizabeth	Rosalind Miles	1992	
5785	609809547	Tales of a Female Nomad: Living at Large in the World	Rita Golden Gelman	2001	
5786	609809644	Genghis Khan and the Making of the Modern World	Jack Weatherford	2004	
5787	609810111	Sacred Contracts: Awakening Your Divine Potential	Caroline Myss	2001	
5788	613026667	Just Me in the Tub (Mercer Mayer's Little Critter)	Gina Mayer, Mercer Mayer	1994	
5789	613096487	The Green Mile, Part 1: The Two Dead Girls	Stephen King	1996	
5790	613371658	The Princess Diaries	Meg Cabot	2000	
5791	615417175	Providence	Jamie McGuire	2010	
5792	615487424	Requiem (Providence #2)	Jamie McGuire	2011	
5793	615651011	The First Confessor	Terry Goodkind	2012	
5794	618001905	King Leopold's Ghost	Adam Hochschild	1998	
5795	618007016	The Three Pigs	David Wiesner	2001	
5796	618062416	Sarah, Plain and Tall	Patricia MacLachlan	1985	
5797	618065687	Curious George Visits the Library	Margret Rey, H.A. Rey, Martha Weston	2003	
5798	618084746	The Heart is a Lonely Hunter	Carson McCullers	1940	
5799	618101365	Interpreter of Maladies	Jhumpa Lahiri	1999	
5800	618164413	The Complete Adventures of Curious George	Margret Rey, H.A. Rey	1969	
5801	618194576	Flotsam	David Wiesner	2006	
5802	618212906	The Lord of the Rings: The Art of The Fellowship of the Ring	Gary Russell	2002	
5803	618249060	Silent Spring	Rachel Carson, Linda Lear, Edward O. Wilson	1962	
5804	618250743	Carry On, Mr. Bowditch	Jean Lee Latham	1955	
5805	618257322	Adrift: Seventy-Six Days Lost at Sea	Steven Callahan	1986	
5806	618260307	The Hobbit or There and Back Again	J.R.R. Tolkien	1937	
5807	618346252	 The Fellowship of the Ring	J.R.R. Tolkien	1954	
5808	618346260	The Two Towers	J.R.R. Tolkien	1954	
5809	618391118	The Silmarillion	J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith	1977	
5810	618443363	Baking: From My Home to Yours	Dorie Greenspan, Alan    Richardson	1980	
5811	618446877	Dark Star Safari 	Paul Theroux	2002	
5812	618485228	The Namesake	Jhumpa Lahiri	2003	
5813	618562036	Empress Orchid	Anchee Min	2003	
5814	618620117	How We Decide	Jonah Lehrer	2009	
5815	618640142	The Lord of the Rings Sketchbook	Alan Lee, Ian McKellen	2005	
5816	618640150	The Lord of the Rings	J.R.R. Tolkien	1955	
5817	618658947	The Great Railway Bazaar: By Train Through Asia 	Paul Theroux	1969	
5818	618665455	Deep and Dark and Dangerous: A Ghost Story	Mary Downing Hahn	2007	
5819	618680004	The God Delusion	Richard Dawkins	2006	
5820	618683070	Dairy Queen	Catherine Gilbert Murdock	2006	
5821	618683356	Beautiful Boy: A Father's Journey Through His Son's Meth Addiction	David Sheff	2007	
5822	618711651	Extremely Loud and Incredibly Close	Jonathan Safran Foer	2005	
5823	618724834	The Wednesday Wars	Gary D. Schmidt	2007	
5824	618750436	The Lemonade War	Jacqueline Davies	2007	
5825	618773479	The Worst Hard Time: The Untold Story of Those Who Survived the Great American Dust Bowl	Timothy Egan	2006	
5826	618829253	Hello, Cupcake!: Irresistibly Playful Creations Anyone Can Make	Alan    Richardson, Karen Tack	2008	
5827	618968474	The History of the Hobbit, Part One: Mr. Baggins	John D. Rateliff, J.R.R. Tolkien	2007	
5828	618982507	Are You My Mother?: A Comic Drama	Alison Bechdel	2012	
5829	631227083	Art in Theory, 1900-2000: An Anthology of Changing Ideas	Charles Harrison, Paul Wood	2002	
5830	631231277	Philosophische Untersuchungen	Ludwig Wittgenstein, G.E.M. Anscombe	1953	
5831	641645473	Sea of Silver Light	Tad Williams	2001	
5832	646418432	The Mysterious Affair at Styles	Agatha Christie, Ροζίτα Σώκου	1920	
5833	670011304	Waiting For You	Susane Colasanti	2009	
5834	670011460	Something Like Fate	Susane Colasanti	2010	
5835	670011835	After	Amy Efaw	2009	
5836	670011940	Along for the Ride	Sarah Dessen	2009	
5837	670012092	The Impossible Knife of Memory	Laurie Halse Anderson	2014	
5838	670012254	Keep Holding On	Susane Colasanti	2012	
5839	670012947	What Happened to Goodbye	Sarah Dessen	2011	
5840	670016381	Dear Daughter	Elizabeth Little	2014	
5841	670016780	Half Bad	Sally Green	2014	
5842	670018708	City of Thieves	David Benioff	2008	
5843	670018856	The Beach House	Jane Green	2008	
5844	670018864	The Likeness	Tana French	2008	
5845	670019631	Shades of Grey	Jasper Fforde	2009	
5846	670020478	The Element: A New View of Human Capacity	Ken Robinson, Lou Aronica	2009	
5847	670020486	The Piano Teacher	Janice Y.K. Lee	2008	
5848	670020532	Why Evolution Is True	Jerry A. Coyne	2008	
5849	670020559	The Magicians	Lev Grossman	2009	
5850	670020575	Through Black Spruce	Joseph Boyden	2008	
5851	670021040	Caleb's Crossing	Geraldine Brooks	2011	
5852	670021156	Stones into Schools: Promoting Peace with Books, Not Bombs, in Afghanistan and Pakistan	Greg Mortenson, Khaled Hosseini	2009	
5853	670021253	Too Big to Fail The Inside Story of How Wall Street and Washington Fought to Save the Financial System from Crisis - and Lost	Andrew Ross Sorkin	2008	
5854	670021458	The Forty Rules of Love	Elif Shafak, إليف شافاق, ارسلان فصیحی, محمد درويش	2010	
5855	670021474	Angelology	Danielle Trussoni	2010	
5856	670021482	La solitudine dei numeri primi	Paolo Giordano, Shaun Whiteside	2008	
5857	670021652	Committed: A Skeptic Makes Peace with Marriage	Elizabeth Gilbert	2009	
5858	670021679	My Name Is Mary Sutter	Robin Oliveira	2010	
5859	670021873	Faithful Place	Tana French	2010	
5860	670022209	Malcolm X: A Life of Reinvention	Manning Marable	2011	
5861	670022411	A Discovery of Witches	Deborah Harkness	2011	
5862	670022691	Rules of Civility	Amor Towles	2011	
5863	670022802	The Last Letter From Your Lover	Jojo Moyes	2008	
5864	670022950	The Better Angels of Our Nature. Why Violence has Declined	Steven Pinker	2010	
5865	670023329	Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West 	Blaine Harden	2012	
5866	670023485	Shadow of Night	Deborah Harkness	2012	
5867	670024783	The Invention of Wings	Sue Monk Kidd	2014	
5868	670024856	The Signature of All Things	Elizabeth Gilbert	2012	
5869	670024961	Mastery	Robert Greene	2012	
5870	670025488	May We Be Forgiven	A.M. Homes	2012	
5871	670025593	The Book of Life	Deborah Harkness	2014	
5872	670025771	The Secret Chord	Geraldine Brooks	2015	
5873	670026190	A Gentleman in Moscow	Amor Towles	2016	
5874	670026328	The Secret Place	Tana French	2014	
5875	670026476	The Bookman’s Tale	Charlie Lovett	2013	
5876	670026557	Give and Take: A Revolutionary Approach to Success	Adam M. Grant	2013	
5877	670026603	Me Before You	Jojo Moyes	2012	
5878	670026611	The Girl You Left Behind	Jojo Moyes	2012	
5879	670026638	A Tale for the Time Being	Ruth Ozeki	2013	
5880	670031607	Why We Suck: A Feel Good Guide to Staying Fat, Loud, Lazy and Stupid	Denis Leary	2008	
5881	670032085	Financial Peace Revisited	Dave Ramsey	1992	
5882	670032565	The Waste Lands	Stephen King, Ned Dameron	1991	
5883	670034800	Swapping Lives	Jane Green	2006	
5884	670035386	Make Way for Ducklings	Robert McCloskey	1941	
5885	670037605	Mayflower: A Story of Courage, Community, and War	Nathaniel Philbrick	2006	
5886	670037729	The Fourth Bear	Jasper Fforde	2006	
5887	670038318	Sovereign 	C.J. Sansom	2006	
5888	670038342	Baba ve Piç	Elif Shafak	2006	
5889	670038571	Second Chance	Jane Green	2007	
5890	670038601	In the Woods	Tana French	2007	
5891	670038717	First Among Sequels 	Jasper Fforde	2007	
5892	670059838	Llama, Llama Red Pajama	Anna Dewdney	2005	
5893	670060291	When It Happens	Susane Colasanti	2006	
5894	670061018	Twisted	Laurie Halse Anderson	2007	
5895	670061050	Just Listen	Sarah Dessen	2006	
5896	670061107	That Summer	Sarah Dessen	1996	
5897	670062278	The Two Pearls of Wisdom	Alison Goodman	2008	
5898	670062405	Llama Llama Mad at Mama	Anna Dewdney	2007	
5899	670063118	Eona: The Last Dragoneye	Alison Goodman	2011	
5900	670064181	The Orenda	Joseph Boyden	2013	
5901	670070297	On the Jellicoe Road	Melina Marchetta	2006	
5902	670072818	Finnikin of the Rock	Melina Marchetta	2008	
5903	670076082	Froi of the Exiles	Melina Marchetta	2011	
5904	670175919	Blueberries for Sal	Robert McCloskey	1948	
5905	670241334	Corduroy	Don Freeman	1948	
5906	670446149	Madeline and the Bad Hat	Ludwig Bemelmans	1956	
5907	670447161	Madeline's Rescue	Ludwig Bemelmans	1953	
5908	670557110	Pippi Långstrump i Söderhavet	Astrid Lindgren, Gerry Bothmer	1948	
5909	670674249	The Story of Ferdinand	Munro Leaf, Robert Lawson	1936	
5910	670785601	The Moon and More	Sarah Dessen	2013	
5911	670869392	There Was an Old Lady Who Swallowed a Fly	Simms Taback	1997	
5912	670869759	A Course in Miracles	Foundation for Inner Peace	1975	
5913	670878553	Joseph Had a Little Overcoat	Simms Taback	1977	
5914	670886580	Haroun and the Sea of Stories	Salman Rushdie, Paul Birkbeck	1990	
5915	670913502	Hairy Maclary from Donaldson's Dairy	Lynley Dodd	1983	
5916	671000314	Flood Tide (Dirk Pitt, #14)	Clive Cussler	1985	
5917	671004239	The Locket	Richard Paul Evans	1998	
5918	671004530	On the Street Where You Live	Mary Higgins Clark	2001	
5919	671004549	You Belong to Me	Mary Higgins Clark	1998	
5920	671010123	Final Jeopardy	Linda Fairstein	1996	
5921	671011332	Almost Heaven	Judith McNaught	1989	
5922	671011367	Déjà Dead	Kathy Reichs	1997	
5923	671011375	Death du Jour	Kathy Reichs	1999	
5924	671015206	The Millionaire Next Door: The Surprising Secrets of America's Wealthy	Thomas J. Stanley, William D. Danko	1995	
5925	671019708	After the Night	Linda Howard	1995	
5926	671019759	Dream Man	Linda Howard	1994	
5927	671021001	She's Come Undone	Wally Lamb	1992	
5928	671023187	Term Limits	Vince Flynn	1997	
5929	671027344	The Perks of Being a Wallflower	Stephen Chbosky	1999	
5930	671027387	Deception Point	Dan Brown	2001	
5931	671027581	Open Season	Linda Howard	2001	
5932	671027638	The Fuck-Up	Arthur Nersesian	1997	
5933	671028367	Deadly Décisions	Kathy Reichs	2000	
5934	671035975	How to Stop Worrying and Start Living	Dale Carnegie	1944	
5935	671037706	Dandelion Wine	Ray Bradbury	1957	
5936	671038540	What's Eating Gilbert Grape	Peter Hedges	1991	
5937	671042572	Jewel (Oprah's Book Club) 	Bret Lott	1991	
5938	671047345	Separation of Power	Vince Flynn	2001	
5939	671201581	A History of Western Philosophy And Its Connection with Political and Social Circumstances from the Earliest Times to the Present Day	Bertrand Russell	1945	
5940	671203231	Why I Am Not a Christian and Other Essays on Religion and Related Subjects	Bertrand Russell, Paul  Edwards	1927	
5941	671227424	The Teachings of Don Juan: A Yaqui Way of Knowledge	Carlos Castaneda	1968	
5942	671250671	The Road Less Traveled:  A New Psychology of Love, Traditional Values, and Spiritual Growth	M. Scott Peck	1978	
5943	671447548	Mornings on Horseback	David McCullough	1981	
5944	671449028	The Going-To-Bed Book	Sandra Boynton	1982	
5945	671522817	Braveheart	Randall Wallace	1995	
5946	671540661	The Shadow of the Torturer	Gene Wolfe	1980	
5947	671578855	A Civil Campaign	Lois McMaster Bujold	1999	
5948	671646788	The Magic of Thinking Big	David J. Schwartz	1959	
5949	671655973	Methuselah's Children	Robert A. Heinlein	1958	
5950	671662341	Anne Frank Remembered	Miep Gies, Alison Leslie Gold	1987	
5951	671664263	Don't Panic: The Official Hitchhikers Guide to the Galaxy Companion	Neil Gaiman	1987	
5952	671670689	Dawn 	V.C. Andrews	1990	
5953	671673688	While My Pretty One Sleeps	Mary Higgins Clark	1989	
5954	671685635	Ghost Story	Peter Straub	1979	
5955	671700758	Psycho-Cybernetics. A New Way to Get More Living Out of Life	Maxwell Maltz	1960	
5956	671702505	The Gift	Julie Garwood	1991	
5957	671702513	The Prize	Julie Garwood	1991	
5958	671704656	Treasure	Clive Cussler	1988	
5959	671720147	The Vor Game	Lois McMaster Bujold	1990	
5960	671721720	The Honor of the Queen	David Weber	1993	
5961	671723227	Wiseguy: Life in a Mafia Family	Nicholas Pileggi	1985	
5962	671725661	West Side Story	Irving Shulman	1961	
5963	671725823	Miles: The Autobiography	Miles Davis, Quincy Troupe	1989	
5964	671726528	Kon-Tiki Ekspedisjonen	Thor Heyerdahl	1948	
5965	671727796	The Color Purple	Alice Walker	1982	
5966	671728687	The Rise and Fall of the Third Reich: A History of Nazi Germany	William L. Shirer	1960	
